time,status,count
08h 04,approved,126
08h 05,denied,11
08h 05,backend_reversed,2
08h 05,approved,116
08h 05,reversed,3
08h 06,denied,23
08h 06,reversed,1
08h 06,approved,128
08h 06,backend_reversed,1
08h 07,reversed,1
08h 07,approved,128
08h 07,denied,18
08h 07,backend_reversed,2
08h 08,approved,140
08h 08,reversed,1
08h 08,denied,13
08h 08,backend_reversed,2
08h 09,reversed,1
08h 09,approved,156
08h 09,denied,21
08h 10,backend_reversed,1
08h 10,approved,150
08h 10,denied,15
08h 10,reversed,1
08h 11,approved,137
08h 11,denied,12
08h 12,approved,153
08h 12,denied,21
08h 13,denied,21
08h 13,reversed,1
08h 13,approved,165
08h 14,denied,19
08h 14,reversed,1
08h 14,approved,156
08h 14,backend_reversed,1
08h 15,approved,176
08h 15,backend_reversed,2
08h 15,denied,12
08h 16,denied,22
08h 16,approved,185
08h 17,approved,164
08h 17,refunded,1
08h 17,denied,27
08h 18,refunded,1
08h 18,approved,163
08h 18,denied,16
08h 19,approved,182
08h 19,denied,22
08h 20,approved,158
08h 20,refunded,2
08h 20,reversed,2
08h 20,denied,16
08h 21,refunded,1
08h 21,approved,187
08h 21,denied,25
08h 22,approved,180
08h 22,reversed,3
08h 22,denied,18
08h 23,approved,177
08h 23,denied,21
08h 23,reversed,1
08h 23,refunded,1
08h 24,denied,30
08h 24,approved,201
08h 24,reversed,1
08h 25,approved,180
08h 25,backend_reversed,1
08h 25,denied,24
08h 26,approved,171
08h 26,refunded,1
08h 26,reversed,1
08h 26,denied,17
08h 27,refunded,2
08h 27,denied,19
08h 27,backend_reversed,1
08h 27,approved,189
08h 28,denied,20
08h 28,reversed,2
08h 28,approved,203
08h 29,approved,188
08h 29,denied,22
08h 30,backend_reversed,1
08h 30,approved,190
08h 30,reversed,1
08h 30,refunded,1
08h 30,denied,23
08h 31,approved,186
08h 31,denied,23
08h 31,reversed,3
08h 31,refunded,2
08h 32,backend_reversed,1
08h 32,approved,175
08h 32,reversed,2
08h 32,denied,19
08h 33,denied,22
08h 33,reversed,2
08h 33,approved,200
08h 34,denied,13
08h 34,reversed,2
08h 34,approved,198
08h 35,reversed,1
08h 35,denied,15
08h 35,refunded,1
08h 35,backend_reversed,2
08h 35,approved,204
08h 36,denied,18
